British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Dusky Warbler,,Phylloscopus fuscatus,A,,,,4460
Willow Warbler,,Phylloscopus trochilus,A,,,,4470
Iberian Chiffchaff,,Phylloscopus ibericus,A,†,,,4480
Chiffchaff,Common Chiffchaff,Phylloscopus collybita,A,,,,4490
Eastern Crowned Warbler,,Phylloscopus coronatus,A,†,,,4500
Green Warbler,,Phylloscopus nitidus,A,†,,,4510
Two-barred Greenish Warbler,Two-barred Warbler,Phylloscopus plumbeitarsus,A,†,,,4520
Greenish Warbler,,Phylloscopus trochiloides,A,,,,4530
Pale-legged Leaf Warbler,,Phylloscopus tenellipes,A,†,,,4540
Arctic Warbler,,Phylloscopus borealis,A,,,,4550
Garden Warbler,,Sylvia borin,AF,,,,4560
Blackcap,Eurasian Blackcap,Sylvia atricapilla,AF,,,,4570
Barred Warbler,,Curruca nisoria,A,,,,4580
Lesser Whitethroat,,Curruca curruca,AF,‡,,,4590
Western Orphean Warbler,,Curruca hortensis,A,†,,,4600
Eastern Orphean Warbler,,Curruca crassirostris,A,†,,,4610
Asian Desert Warbler,,Curruca nana,A,†,,,4620
Whitethroat,Common Whitethroat,Curruca communis,AF,,,,4630
Spectacled Warbler,,Curruca conspicillata,A,†,,,4640
Marmora's Warbler,,Curruca sarda,A,†,,,4650
Dartford Warbler,,Curruca undata,A,,,,4660
Rüppell's Warbler,,Curruca ruppeli,A,†,,,4670
Sardinian Warbler,,Curruca melanocephala,A,†,,,4680
Moltoni's Warbler,,Curruca subalpina,A,†,,,4690
Western Subalpine Warbler,,Curruca iberiae,A,†,,,4700
Eastern Subalpine Warbler,,Curruca cantillans,A,†,,,4710
Cedar Waxwing,,Bombycilla cedrorum,AE,†,,,4720
Waxwing,Bohemian Waxwing,Bombycilla garrulus,AEF,,,,4730
Ruby-crowned Kinglet,,Corthylio calendula,A,†,,,4740
Firecrest,Common Firecrest,Regulus ignicapilla,A,,,,4750
Goldcrest,,Regulus regulus,AF,,,,4760
Wallcreeper,,Tichodroma muraria,A,†,,,4770
Red-breasted Nuthatch,,Sitta canadensis,A,†,,,4780
Nuthatch,Eurasian Nuthatch,Sitta europaea,AF,,,,4790
Treecreeper,Eurasian Treecreeper,Certhia familiaris,AF,‡,,,4800
Short-toed Treecreeper,,Certhia brachydactyla,A,†,,,4810
Wren,Eurasian Wren,Troglodytes troglodytes,AF,,,,4820
Grey Catbird,,Dumetella carolinensis,A,†,,,4830
Brown Thrasher,,Toxostoma rufum,A,†,,,4840
Northern Mockingbird,,Mimus polyglottos,AE,†,,,4850
Starling,Common Starling,Sturnus vulgaris,AF,,,,4860
Rose-coloured Starling,Rosy Starling,Pastor roseus,AE,,,,4870
Dipper,White-throated Dipper,Cinclus cinclus,AF,‡,,,4880
White's Thrush,,Zoothera aurea,A,†,,,4890
Varied Thrush,,Ixoreus naevius,A,†,,,4900
Wood Thrush,,Hylocichla mustelina,A,†,,,4910
Swainson's Thrush,,Catharus ustulatus,A,†,,,4920
Veery,,Catharus fuscescens,A,†,,,4930
Grey-cheeked Thrush,,Catharus minimus,A,†,,,4940
Hermit Thrush,,Catharus guttatus,A,†,,,4950
Siberian Thrush,,Geokichla sibirica,AE,†,,,4960
Mistle Thrush,,Turdus viscivorus,AF,,,,4970
Song Thrush,,Turdus philomelos,AF,,,,4980
Redwing,,Turdus iliacus,AF,,,,4990
Blackbird,Common Blackbird,Turdus merula,AF,,,,5000
Fieldfare,,Turdus pilaris,AF,,,,5010
Ring Ouzel,,Turdus torquatus,AF,,,,5020
Red-throated Thrush,,Turdus ruficollis,A,†,,,5030
Black-throated Thrush,,Turdus atrogularis,A,†,,,5040
Naumann's Thrush,,Turdus naumanni,A,†,,,5050
Dusky Thrush,,Turdus eunomus,A,†,,,5060
Eyebrowed Thrush,,Turdus obscurus,A,†,,,5070
American Robin,,Turdus migratorius,AE,†,,,5080
Rufous-tailed Scrub Robin,,Cercotrichas galactotes,A,†,,,5090
Asian Brown Flycatcher,,Muscicapa dauurica,A,†,,,5100
Spotted Flycatcher,,Muscicapa striata,AF,,,,5110
Robin,European Robin,Erithacus rubecula,AF,,,,5120
White-throated Robin,,Irania gutturalis,A,†,,,5130
Thrush Nightingale,,Luscinia luscinia,AF,†,,,5140
Nightingale,Common Nightingale,Luscinia megarhynchos,A,‡,,,5150
Bluethroat,,Luscinia svecica,A,‡,,,5160
Siberian Rubythroat,,Calliope calliope,A,†,,,5170
Siberian Blue Robin,,Larvivora cyane,A,†,,,5180
Rufous-tailed Robin,,Larvivora sibilans,A,†,,,5190
Red-breasted Flycatcher,,Ficedula parva,A,,,,5200
Taiga Flycatcher,,Ficedula albicilla,A,†,,,5210
Collared Flycatcher,,Ficedula albicollis,A,†,,,5220
Pied Flycatcher,European Pied Flycatcher,Ficedula hypoleuca,A,‡,,,5230
Red-flanked Bluetail,,Tarsiger cyanurus,AE,,,,5240
Black Redstart,,Phoenicurus ochruros,AF,‡,,,5250
